spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;globalDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;sylldB;dBDeciles;sylldur;durDeciles;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;deb;fin;file;ID
dec2022-203_093-115_SPEAKER_01;technology;NOUN;4;oOoo;oOoo;oooO;[43, 38.7, 32, 63.3];Oooo;oOoo;oooO;[114.78999275878144, 103.15422454182263, 102.03891252558003, 108.53978507795223];[74, 36, 30, 66];[47.15434130801046, 50.72434285313426, 47.85426243545263, 48.603927527409816];[19, 44, 30, 36];[0.03000000000000025, 0.03000000000000025, 0.03000000000000025, 0.1200000000000001];[36, 36, 36, 88];103.81391859095726;111.66173144311395;2.618931398027228;False;4.72;5.19;dec2022-203_093-115_SPEAKER_01_0.TextGrid;duNdNTC
dec2022-203_093-115_SPEAKER_01;education;NOUN;4;ooOo;ooOo;oooO;[66, 53.3, 66.3, 88.3];oooO;Oooo;oooO;[106.89317489740614, 105.30020686019986, 119.29504673786892, 152.80312627650173];[63, 55, 77, 94];[54.597142016695344, 51.22811150191004, 51.03262143505377, 54.29127389682128];[83, 55, 47, 77];[0.03999999999999915, 0.030000000000001137, 0.07000000000000028, 0.20000000000000107];[52, 50, 75, 94];150.09677986542027;153.8849625846174;0.8685258287938247;False;8.63;9.27;dec2022-203_093-115_SPEAKER_01_0.TextGrid;RlFHn26
dec2022-203_093-115_SPEAKER_01;because;SCONJ;2;oO/oo;oo;oO;[51.7, 85.7];oO;oO;oO;[104.44857363988076, 109.19086775450468];[50, 72];[48.06190297131338, 57.31321889154202];[33, 94];[0.0600000000000005, 0.1899999999999995];[72, 91];107.89583129338733;111.76512262763602;1.1816688204333037;True;9.64;10.05;dec2022-203_093-115_SPEAKER_01_0.TextGrid;biP1OGj
dec2022-203_093-115_SPEAKER_01;children;NOUN;2;Oo;Oo;oO;[21.7, 45];oO;oO;OO;[103.72637378047055, 106.14807262444214];[47, 58];[41.203579754262144, 52.037871050876525];[2, 61];[0.02999999999999936, 0.02999999999999936];[16, 16];105.64659467206201;106.81643738301405;0.6025125697050414;False;11.39;11.92;dec2022-203_093-115_SPEAKER_01_0.TextGrid;jjztQ2D
dec2022-203_093-115_SPEAKER_01;something;PRON;2;Oo;Oo;oO;[65.3, 87.3];oO;oO;oO;[108.63300750847915, 133.00035971341543];[69, 91];[52.26323010622586, 56.46227170032041];[66, 88];[0.049999999999998934, 0.11999999999999922];[61, 83];130.06309947455023;135.60402795351743;1.9926563522234755;True;13.59;14.32;dec2022-203_093-115_SPEAKER_01_0.TextGrid;fp2mnqt
dec2022-203_093-115_SPEAKER_01;something;PRON;2;Oo;Oo;Oo;[23.7, 22];Oo;oO;OO;[97.88990665813502, 95.96741236651908];[16, 8];[41.43456701553244, 43.42430283606442];[5, 8];[0.030000000000001137, 0.030000000000001137];[50, 50];95.86633706243022;96.06848767060795;0.08699177098867412;False;19.42;19.76;dec2022-203_093-115_SPEAKER_01_0.TextGrid;qsQgWR7
dec2022-203_093-115_SPEAKER_01;border;NOUN;2;Oo;Oo;oO;[54.3, 97];oO;oO;oO;[99.81491187072382, 197.228524866279];[19, 97];[55.89941323674629, 58.901567589816466];[86, 97];[0.040000000000000036, 0.3000000000000007];[58, 97];107.67923244075611;234.35670414015715;45.69151779959532;True;3.99;4.61;dec2022-203_093-115_SPEAKER_01_1.TextGrid;Qm322LY
dec2022-203_093-115_SPEAKER_01;friendly;ADJ;2;Oo;Oo;Oo;[47, 46];Oo;oO;OO;[103.3552493719058, 101.15178621384652];[41, 25];[51.04607229056915, 52.06642256411715];[50, 63];[0.030000000000001137, 0.030000000000001137];[50, 50];100.97670377758743;101.35016434280723;0.1825648135035168;False;10.78;11.13;dec2022-203_093-115_SPEAKER_01_1.TextGrid;H6apXT6
dec2022-203_093-115_SPEAKER_01;little;ADJ;2;Oo;Oo;Oo;[56, 55];oO;Oo;Oo;[100.79057026195852, 101.77730006102624];[22, 27];[54.34710596861801, 52.98345229140835];[80, 75];[0.05999999999999994, 0.04999999999999993];[66, 63];101.37032619681082;102.2251938033721;0.30445056101198076;True;0.6;0.87;dec2022-203_093-115_SPEAKER_01_3.TextGrid;EXus5AO
dec2022-203_093-115_SPEAKER_01;digital;ADJ;3;Ooo;Ooo;ooO;[32.7, 63.3, 76.3];ooO;ooO;oOo;[103.3290189799568, 103.46024128311372, 106.8171076424195];[38, 44, 61];[48.97796941227398, 51.31151460681657, 56.4778136214017];[38, 58, 91];[0.029999999999999805, 0.1200000000000001, 0.07999999999999985];[22, 88, 77];99.96507269158879;109.27862198699208;2.925739715450682;True;1.05;1.78;dec2022-203_093-115_SPEAKER_01_3.TextGrid;VVM10oz
dec2022-203_093-115_SPEAKER_01;restriction;NOUN;3;oOo;oOo;ooO;[22, 22, 71.7];ooO;ooO;ooO;[95.61473727663973, 103.08846149060469, 121.03552076884252];[5, 33, 83];[47.53382810846138, 44.587948129941786, 51.197983404599995];[25, 11, 52];[0.03000000000000025, 0.029999999999999805, 0.10000000000000053];[36, 22, 80];119.80219223688484;123.79256622089412;1.2580170723971236;True;3.53;4.2;dec2022-203_093-115_SPEAKER_01_3.TextGrid;LDWH5t5
dec2022-203_093-115_SPEAKER_01;computer;NOUN;3;oOo;oOo;oOo;[31.7, 74.7, 57];ooO;oOo;oOo;[104.68885170066861, 120.98090159024927, 122.61467701109048];[52, 80, 86];[47.66010006623301, 52.54081198611064, 52.38124602325626];[27, 72, 69];[0.02999999999999936, 0.0600000000000005, 0.02999999999999936];[16, 72, 16];122.5611131129409;122.6419187733015;0.046389975391818564;True;5.58;6.01;dec2022-203_093-115_SPEAKER_01_3.TextGrid;TyEj0zG
dec2022-203_093-115_SPEAKER_01;python;NOUN;2;Oo;Oo;Oo;[40, 37.3];Oo;oO;oO;[122.86997058766475, 97.52578207267385];[88, 13];[46.704892363567446, 50.53616095123846];[16, 41];[0.02999999999999936, 0.040000000000000036];[16, 58];96.04804813797821;99.75465222577938;1.5685698276982243;True;6.08;6.82;dec2022-203_093-115_SPEAKER_01_3.TextGrid;yN0OXIk
dec2022-203_093-115_SPEAKER_01;students;NOUN;2;Oo;Oo;oO;[13.3, 20];Oo;oO;oO;[96.95102427352839, 94.7508854808058];[11, 2];[45.19009205374511, 47.36005295919392];[13, 22];[0.02999999999999936, 0.03000000000000025];[16, 36];94.4437548311543;95.14826111884666;0.3476886618777249;False;7.67;8.01;dec2022-203_093-115_SPEAKER_01_3.TextGrid;1ZxQzSW
jan2023-201_141-155_SPEAKER_00;understand;VERB;3;ooO;ooO;Ooo;[87.3, 74.7, 66];ooO;Ooo;Ooo;[243.75377400525952, 233.00486659165946, 253.90945889342586];[92, 88, 94];[58.03487875777505, 53.48967577132367, 56.26453592084855];[97, 72, 90];[0.11999999999999988, 0.08000000000000007, 0.030000000000000027];[73, 64, 14];252.7717087581034;256.64620337516016;1.8449680908038713;False;1.3;1.73;jan2023-201_141-155_SPEAKER_00_0.TextGrid;prFdPkR
jan2023-201_141-155_SPEAKER_00;other;ADJ;2;Oo;Oo;Oo;[55.7, 45];Oo;Oo;Oo;[191.00155184905583, 189.7350782952917];[35, 31];[52.62631056045475, 52.602515766050175];[60, 59];[0.11000000000000032, 0.04999999999999982];[72, 45];188.2122645635112;194.20458428878607;2.5568318628835387;True;5.46;5.68;jan2023-201_141-155_SPEAKER_00_0.TextGrid;pHNJXQ9
