spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;globalDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;sylldB;dBDeciles;sylldur;durDeciles;F0min;F0max;F0sd;syllmfa_equals_syllnuclei;deb;fin;file;ID
dec2022-002_002-003_SPEAKER_00;okay;INTJ;2;oO;oO;Oo;[67.7, 41.3];Oo;Oo;Oo;[329.492068321314, 121.66473495669234];[97, 67];[57.79241489326472, 51.029723598013064];[42, 5];[0.09000000000000001, 0.06999999999999995];[64, 52];119.72066028146077;131.1343749278841;4.231074096115841;True;0.11;0.41;dec2022-002_002-003_SPEAKER_00_0.TextGrid;RoswkUh
dec2022-002_002-003_SPEAKER_00;talking;VERB;2;Oo;Oo;Oo;[60, 38.3];Oo;Oo;Oo;[126.83125540026838, 125.80672250290658];[82, 80];[59.1265744442617, 56.099978737545555];[54, 22];[0.04999999999999982, 0.03000000000000025];[44, 13];124.50213980208922;126.87025646855956;1.202640674311567;True;3.87;4.21;dec2022-002_002-003_SPEAKER_00_0.TextGrid;yOUndS7
dec2022-002_002-003_SPEAKER_00;today;NOUN;2;oO;oO;oO;[33, 78];Oo;oO;oO;[128.8444669322896, 121.96497666364736];[84, 69];[49.25342656042694, 63.19109811792214];[2, 89];[0.03000000000000025, 0.1200000000000001];[13, 76];119.70028933326317;129.37650980807916;2.6540297216965123;False;4.21;4.51;dec2022-002_002-003_SPEAKER_00_0.TextGrid;25SWcaC
dec2022-002_002-003_SPEAKER_00;about;ADP;2;oO;oO;oO;[43, 44.7];Oo;Oo;oO;[119.61445929704702, 114.3338496296974];[57, 26];[59.39152864736447, 56.5503065975966];[59, 28];[0.03000000000000025, 0.1299999999999999];[13, 80];112.99837993861193;118.47461135707644;1.350422335103174;False;4.51;4.92;dec2022-002_002-003_SPEAKER_00_0.TextGrid;HLx2geM
dec2022-002_002-003_SPEAKER_00;technology;NOUN;4;oOoo;oOoo;oooO;[26.7, 56.7, 43.3, 80];oooO;oooO;oooO;[120.35044815866493, 119.60648022393859, 132.26186170101997, 143.2857678233188];[61, 57, 89, 94];[52.8727340091633, 58.96485869001711, 52.54604978498073, 59.15906570220586];[6, 52, 5, 55];[0.03000000000000025, 0.08000000000000007, 0.040000000000000036, 0.20000000000000018];[13, 61, 36, 91];135.71442087989686;160.92278273833503;7.840339774614476;False;5.09;5.92;dec2022-002_002-003_SPEAKER_00_0.TextGrid;NVvOipb
dec2022-002_002-003_SPEAKER_00;classroom;NOUN;2;Oo;Oo;Oo;[49, 25];Oo;oO;Oo;[124.06409396923647, 79.73904988785603];[76, 0];[53.59963833567788, 56.75580577518917];[10, 31];[0.08000000000000007, 0.04999999999999982];[61, 44];77.81347540961342;83.2428282688997;2.2832885867636716;True;6.22;6.9;dec2022-002_002-003_SPEAKER_00_0.TextGrid;Ru3MoBQ
dec2022-002_002-003_SPEAKER_00;about;ADP;2;oO;oO;oO;[19.3, 24.7];Oo;Oo;oO;[114.62357283694413, 112.5546234617335];[27, 15];[56.139484550965086, 53.487539345328216];[23, 9];[0.02999999999999936, 0.05999999999999872];[8, 50];111.435273718809;114.83472010935755;1.2040028907207005;True;8.99;9.37;dec2022-002_002-003_SPEAKER_00_0.TextGrid;yDhhg8D
dec2022-002_002-003_SPEAKER_00;okay;INTJ;2;oO;oO;Oo;[77.7, 62.3];oO;Oo;Oo;[400.97918610574743, 528.5767923037743];[98, 99];[67.86933430443258, 61.63670652747153];[99, 78];[0.040000000000000036, 0.030000000000000027];[36, 10];497.6224327934234;542.4468229362371;21.207739130441578;False;0.58;0.68;dec2022-002_002-003_SPEAKER_00_1.TextGrid;GL5seZt
dec2022-002_002-003_SPEAKER_00;absolutely;ADV;4;ooOo;ooOo;oOoo;[65.7, 72.7, 35.3, 61.3];oooO;Oooo;oOoo;[129.61149885297013, 292.39262563640256, 138.6992722845984, 403.1918702324224];[85, 97, 93, 99];[59.354459058948045, 59.30926519472683, 50.024831718520204, 56.73708928297113];[58, 57, 3, 31];[0.07000000000000006, 0.08999999999999986, 0.030000000000000027, 0.07000000000000006];[54, 64, 10, 54];254.69995629671644;490.46836041392163;88.71624722001421;True;1.39;1.95;dec2022-002_002-003_SPEAKER_00_1.TextGrid;UT3f9dG
dec2022-002_002-003_SPEAKER_00;any;DET;2;Oo;Oo;oO;[61.7, 63];Oo;oO;Oo;[160.54667014762592, 131.70598181767383];[95, 89];[57.1767590627692, 59.90682248908473];[36, 64];[0.07000000000000006, 0.040000000000000036];[54, 36];130.07194599247262;134.17973098197848;1.6722101285985398;False;1.95;2.1;dec2022-002_002-003_SPEAKER_00_1.TextGrid;cSnbd0f
