spk;lab;pos;lenSyllxpos;expectedShapes;expectedShape;observedShape;globalDeciles;F0shape;dBshape;durshape;syllF0;F0Deciles;sylldB;dBDeciles;sylldur;durDeciles;deb;fin;file;ID
dec2022-002_002-003_SPEAKER_00;talking;VERB;2;Oo;Oo;Oo;[49, 38.3];Oo;Oo;oO;[126.54043981691021, 124.75154335865523];[85, 82];[59.16290026623891, 56.08744005932904];[52, 18];[0.13562984102829168, 0.14437015897170813];[10, 15];3.956;4.236;dec2022-002_002-003_SPEAKER_00_0.TextGrid;QBMWTOt
dec2022-002_002-003_SPEAKER_00;classroom;NOUN;2;Oo;Oo;Oo;[49.3, 37.3];Oo;oO;oO;[121.79106897862556, 77.97338103881653];[70, 0];[52.35725625494682, 56.81499501886904];[4, 25];[0.24618634369803782, 0.29481365630196255];[74, 87];6.3;6.841;dec2022-002_002-003_SPEAKER_00_0.TextGrid;LGJ1ljE
dec2022-002_002-003_SPEAKER_00;problem;NOUN;2;Oo;Oo;Oo;[69.3, 61.3];Oo;Oo;oO;[365.60595897877135, 123.922519753181];[96, 78];[62.15342601991523, 58.462783663569];[81, 45];[0.17051912183661777, 0.23048087816338247];[31, 61];2.17;2.571;dec2022-002_002-003_SPEAKER_00_1.TextGrid;btw0F0P
dec2022-002_002-003_SPEAKER_00;aspects;NOUN;2;Oo;Oo;Oo;[51.3, 42];Oo;oO;Oo;[124.67807133039322, 116.07528140756236];[81, 36];[44.57423295279091, 56.91170114639995];[0, 25];[0.24590649441913115, 0.23409350558086928];[73, 65];10.056;10.536;dec2022-002_002-003_SPEAKER_00_1.TextGrid;bQTb4gh
dec2022-002_002-003_SPEAKER_00;dangerous;ADJ;3;Ooo;Ooo;ooO;[40.7, 35, 45.7];oOo;Ooo;ooO;[117.0131183711966, 123.48495923790627, 119.52177038895437];[46, 77, 61];[59.754604292344844, 54.027617980475696, 56.9536278512883];[60, 8, 26];[0.15237869496122158, 0.15921309895166758, 0.20840820608711041];[16, 20, 50];11.217;11.737;dec2022-002_002-003_SPEAKER_00_1.TextGrid;BcCdCgw
dec2022-002_002-003_SPEAKER_00;system;NOUN;2;Oo;Oo;oO;[68.3, 77.7];Oo;Oo;oO;[126.92744196380232, 124.31153708527674];[86, 80];[62.65250786919597, 60.238418510763914];[85, 67];[0.17905528918984004, 0.2809447108101608];[34, 86];20.223;20.683;dec2022-002_002-003_SPEAKER_00_1.TextGrid;3ztYqwZ
dec2022-002_002-003_SPEAKER_00;teachers;NOUN;2;Oo;Oo;Oo;[46.7, 43.7];Oo;Oo;oO;[115.34579205460507, 110.19944480786845];[27, 4];[57.99886560967902, 57.442786653415574];[38, 32];[0.24664783671477863, 0.354352163285224];[75, 95];29.516;30.117;dec2022-002_002-003_SPEAKER_00_1.TextGrid;Xp1uO0G
dec2022-002_002-003_SPEAKER_00;students;NOUN;2;Oo;Oo;oO;[20.3, 34.3];Oo;Oo;oO;[114.52933238888585, 109.95940443774278];[20, 3];[55.66991838808936, 53.94622582935768];[16, 7];[0.16665268440144843, 0.33534731559855047];[25, 93];30.939;31.441;dec2022-002_002-003_SPEAKER_00_1.TextGrid;KLqbfX8
dec2022-002_002-003_SPEAKER_00;also;ADV;2;Oo;Oo;oO;[34.3, 50.3];Oo;oO;oO;[116.09962908349489, 115.14482579945249];[37, 25];[57.20051703041162, 57.75429030535566];[29, 35];[0.18181445770057625, 0.31918554229942364];[37, 91];2.491;2.992;dec2022-002_002-003_SPEAKER_00_2.TextGrid;slrp5n9
dec2022-002_002-003_SPEAKER_00;verify;VERB;3;Ooo;Ooo;Ooo;[71.3, 56.3, 40.7];oOo;Ooo;ooO;[117.91214841803445, 118.27525556289062, 109.90754805037385];[55, 57, 2];[61.958808253144525, 57.63817072889155, 56.45825855005559];[80, 34, 22];[0.2578066185703669, 0.2558391823043782, 0.3673541991252547];[79, 78, 98];3.672;4.553;dec2022-002_002-003_SPEAKER_00_2.TextGrid;18vGYcC
dec2022-002_002-003_SPEAKER_00;history;NOUN;2;Ooo/Oo;Oo;oO;[43.3, 74.3];oO;oO;oO;[117.44672718771184, 122.00728363797978];[50, 73];[57.70090285764744, 59.20087753582422];[35, 53];[0.20213332207117318, 0.3578666779288264];[45, 97];5.434;5.994;dec2022-002_002-003_SPEAKER_00_2.TextGrid;tA6hlj7
dec2022-002_002-003_SPEAKER_00;computers;NOUN;3;oOo;oOo;ooO;[29.7, 45.7, 54.7];Ooo;ooO;ooO;[118.23632089250356, 115.06738084886187, 114.15878625794109];[56, 24, 18];[53.49024146580327, 59.861375330252685, 60.2192059569949];[5, 61, 66];[0.16800184795139295, 0.21053315329131905, 0.262464998757288];[28, 52, 80];9.157;9.798;dec2022-002_002-003_SPEAKER_00_2.TextGrid;IGJhqfv
dec2022-002_002-003_SPEAKER_00;devices;NOUN;3;oOo;oOo;ooO;[14, 24.7, 75.3];ooO;ooO;ooO;[111.42459143873852, 116.34876816723713, 133.11599453384096];[8, 40, 92];[54.87424842491623, 55.424073389041375, 60.02785013438421];[10, 13, 64];[0.16144782695159066, 0.15962132968020804, 0.23993084336820125];[24, 21, 70];10.398;10.959;dec2022-002_002-003_SPEAKER_00_2.TextGrid;nnYcbMQ
dec2022-002_002-003_SPEAKER_00;students;NOUN;2;Oo;Oo;oO;[21.7, 52.3];oO;oO;oO;[114.68812298902343, 117.75941552646529];[22, 53];[56.45248110515161, 56.707495941100035];[21, 24];[0.16012967699988678, 0.26087032300011437];[22, 80];12.86;13.281;dec2022-002_002-003_SPEAKER_00_2.TextGrid;gjwRs0U
dec2022-002_002-003_SPEAKER_00;homework;NOUN;2;Oo;Oo;oO;[55.3, 63];Oo;Oo;oO;[121.99784797556374, 119.73729636275469];[72, 63];[57.89979102663885, 57.320119812345816];[37, 30];[0.2239835267065331, 0.3570164732934664];[57, 96];29.659;30.24;dec2022-002_002-003_SPEAKER_00_2.TextGrid;JzwcCYn
dec2022-002_002-003_SPEAKER_00;researchers;NOUN;3;Ooo;Ooo;Ooo;[59, 23, 42];ooO;Ooo;Ooo;[115.710228190377, 115.84919567948722, 117.09810656069635];[32, 34, 48];[59.30811875948472, 50.69750770947778, 56.137244944647186];[55, 2, 19];[0.3030912191598212, 0.1744221829947854, 0.22448659784539515];[90, 33, 59];30.561;31.263;dec2022-002_002-003_SPEAKER_00_2.TextGrid;aFjlJfB
dec2022-002_002-003_SPEAKER_00;also;ADV;2;Oo;Oo;oO;[60.3, 62.7];oO;Oo;oO;[131.35798338517264, 134.2999509569291];[91, 93];[62.459536376691716, 61.731458942321005];[83, 76];[0.12304838762176984, 0.1569516123782302];[7, 19];1.55;1.83;dec2022-002_002-003_SPEAKER_00_3.TextGrid;cdfrCHn
dec2022-002_002-003_SPEAKER_00;technological;ADJ;5;ooOoo;ooOoo;oooOo;[12.7, 59, 40.3, 80, 73.7];oooOo;oooOo;oooOo;[115.81665271547126, 119.2403889205039, 116.88279412147519, 379.1416098378864, 375.0755241599551];[33, 60, 45, 99, 98];[48.55680677127098, 61.71459481491367, 59.679594836524494, 65.83614008371288, 64.97315250112509];[1, 75, 59, 96, 93];[0.1071468727197189, 0.1893968159914845, 0.15292025198040982, 0.2010954947428747, 0.16944056456551237];[4, 42, 17, 45, 30];12.455;13.275;dec2022-002_002-003_SPEAKER_00_3.TextGrid;1dQmVhL
dec2022-002_002-003_SPEAKER_00;every;DET;2;Ooo/Oo;Oo;oO;[60.3, 64];oO;Oo;Oo;[124.11675842113182, 372.8922218630131];[79, 97];[67.54046687271276, 65.15618369900608];[99, 94];[0.10296506292945651, 0.09703493707054278];[3, 1];17.817;18.017;dec2022-002_002-003_SPEAKER_00_3.TextGrid;8QPpk8q
dec2022-002_002-003_SPEAKER_00;students;NOUN;2;Oo;Oo;oO;[37.7, 43.7];Oo;Oo;oO;[114.87825807564323, 113.84390715703343];[23, 15];[59.107231594560275, 57.376083391983066];[50, 31];[0.18409150658407825, 0.2759084934159226];[40, 85];23.48;23.94;dec2022-002_002-003_SPEAKER_00_3.TextGrid;dvCXKku
dec2022-002_002-003_SPEAKER_00;teachers;NOUN;2;Oo;Oo;oO;[46, 51.7];Oo;oO;oO;[115.86159061668236, 110.85066860266384];[35, 6];[58.595976159156606, 61.20876208575771];[45, 72];[0.22421615757405533, 0.2557838424259451];[58, 77];27.842;28.322;dec2022-002_002-003_SPEAKER_00_3.TextGrid;H4f85ow
dec2022-002_002-003_SPEAKER_00;maybe;ADV;2;Oo;Oo;oO;[42, 77.7];oO;oO;oO;[113.74740593744905, 121.04732391574112];[14, 66];[59.334106215551294, 60.367415630837144];[56, 68];[0.2237677633079258, 0.3762322366920756];[56, 99];36.966;37.566;dec2022-002_002-003_SPEAKER_00_3.TextGrid;HA3tiRl
dec2022-002_002-003_SPEAKER_00;computer;NOUN;3;oOo;oOo;ooO;[22.3, 66.3, 71];oOo;ooO;ooO;[111.20694601904277, 122.08730344874256, 121.681449373893];[7, 74, 69];[56.24950959361229, 62.71494285685542, 66.91873128702987];[19, 85, 98];[0.18863743246976838, 0.1869946570825931, 0.2043679104476368];[41, 40, 46];55.133;55.713;dec2022-002_002-003_SPEAKER_00_3.TextGrid;5fTBLaF
dec2022-002_002-003_SPEAKER_00;making;VERB;2;Oo;Oo;Oo;[44, 29.7];oO;Oo;oO;[110.63328817581939, 113.79680848279672];[5, 15];[61.94990598728267, 55.26175022515892];[79, 11];[0.20760837303942736, 0.23239162696057036];[48, 63];58.133;58.573;dec2022-002_002-003_SPEAKER_00_3.TextGrid;9AOoSiz
dec2022-002_002-003_SPEAKER_00;filters;NOUN;2;Oo;Oo;oO;[63.3, 66];oO;Oo;oO;[116.29931147392867, 117.13821590696563];[40, 49];[59.89248333491267, 59.322228658540226];[62, 55];[0.29599785574435344, 0.3440021442556471];[88, 94];60.554;61.194;dec2022-002_002-003_SPEAKER_00_3.TextGrid;8W2qF0K
dec2022-002_002-003_SPEAKER_00;reducing;VERB;3;oOo;oOo;oOo;[37.7, 61.3, 57];ooO;Ooo;oOo;[113.44050823842139, 117.93196257560797, 122.49910851159687];[12, 55, 75];[64.49492868385364, 62.74770973042013, 59.40573215704532];[91, 86, 57];[0.1280129255307827, 0.18988827602583314, 0.18209879844338417];[10, 43, 39];62.374;62.874;dec2022-002_002-003_SPEAKER_00_3.TextGrid;RheatqH
dec2022-002_002-003_SPEAKER_00;also;ADV;2;Oo;Oo;oO;[42, 66.3];oO;oO;oO;[115.49466531657004, 123.03283033506357];[30, 75];[61.919518565176574, 66.19830765948853];[78, 97];[0.15337985134225707, 0.16762014865774288];[18, 27];0.99;1.311;dec2022-002_002-003_SPEAKER_00_4.TextGrid;bQob3a6
dec2022-002_002-003_SPEAKER_00;computers;NOUN;3;oOo;oOo;oOo;[38.3, 53.7, 51.7];oOo;ooO;ooO;[116.50856656230557, 119.06052270761637, 114.67276078299466];[41, 59, 21];[57.29287037763274, 58.97655612934176, 60.17338254978217];[30, 49, 65];[0.19134756294310096, 0.2116289905973634, 0.23802344645953566];[44, 53, 69];2.512;3.153;dec2022-002_002-003_SPEAKER_00_4.TextGrid;7h4zTpA
dec2022-002_002-003_SPEAKER_00;continue;VERB;3;oOo;oOo;Ooo;[41.3, 41, 15.7];Ooo;oOo;Ooo;[117.061355802782, 114.63179578817311, 116.71810346975927];[47, 20, 44];[55.502654264019355, 58.342658020453165, 50.85927280875973];[15, 43, 3];[0.23238343763331137, 0.2252241658900953, 0.08339239647659369];[62, 60, 0];10.141;10.682;dec2022-002_002-003_SPEAKER_00_4.TextGrid;94fP0M8
dec2022-002_002-003_SPEAKER_00;also;ADV;2;Oo;Oo;oO;[59.7, 83.3];oO;oO;oO;[126.75204688162393, 130.94415965323304];[85, 90];[61.46324560958209, 63.08766122818355];[74, 88];[0.15833104296607203, 0.24266895703392777];[20, 72];20.253;20.654;dec2022-002_002-003_SPEAKER_00_4.TextGrid;OiVN9Yc
dec2022-002_002-003_SPEAKER_00;thinking;VERB;2;Oo;Oo;Oo;[46, 42];Oo;oO;Oo;[123.15075530388839, 120.72184687555027];[76, 64];[58.14883663689673, 59.09350793851273];[39, 50];[0.16073085583474622, 0.1402691441652557];[23, 12];21.194;21.495;dec2022-002_002-003_SPEAKER_00_4.TextGrid;TF9UrhI
dec2022-002_002-003_SPEAKER_00;students;NOUN;2;Oo;Oo;Oo;[66.7, 40];Oo;Oo;Oo;[124.97714124394979, 117.8986484381459];[83, 54];[59.95283980681822, 56.080547967118584];[63, 17];[0.21172304744186698, 0.20827695255813294];[54, 49];3.551;3.971;dec2022-002_002-003_SPEAKER_00_5.TextGrid;Z5e71WM
dec2022-002_002-003_SPEAKER_00;also;ADV;2;Oo;Oo;oO;[37.7, 52];oO;Oo;oO;[116.5175696611134, 119.7270023125936];[42, 62];[59.754344905581775, 59.4728183464687];[60, 58];[0.1398851880318812, 0.18011481196811907];[11, 36];4.191;4.511;dec2022-002_002-003_SPEAKER_00_5.TextGrid;ZxKOL0s
